# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:gr.fac. D             16:gr.fac. f          
       7.357043021222e+13       1.396462361700e-25       6.299160304479e-09       1.167795088632e+22       1.294251882443e+04       1.759201188180e-10       9.521866779427e+17       3.637274047576e-09       8.061061870467e+43       6.316190216096e+32       7.235800403006e+33       3.236176255929e-08       5.576391819074e+43       1.363745369033e+44       2.634430391259e-06       3.258103671733e+00 
       7.305901709257e+13       1.416081261419e-25       6.344635039568e-09       1.151616034957e+22       1.294251882443e+04       1.771515596497e-10       9.455677040146e+17       3.662734965909e-09       7.839247429430e+43       6.185385742218e+32       7.085951359133e+33       3.236176255929e-08       5.422947489502e+43       1.326219491970e+44       2.694303809242e-06       3.185701367917e+00 
       7.255115897971e+13       1.435975787061e-25       6.388290785253e-09       1.135661131718e+22       1.294251882443e+04       1.783916205673e-10       9.389947408288e+17       3.688374110670e-09       7.623536606878e+43       6.057290149771e+32       6.939205598201e+33       3.236176255929e-08       5.273725453312e+43       1.289726206095e+44       2.754177227225e-06       3.116446990353e+00 
       7.204683116158e+13       1.456149810893e-25       6.433765520342e-09       1.119927273453e+22       1.294251882443e+04       1.796403619112e-10       9.324674685490e+17       3.714192729444e-09       7.413761450905e+43       5.931847339459e+32       6.795498853098e+33       3.236176255929e-08       5.128609526601e+43       1.254237097824e+44       2.814050645208e-06       3.050139607580e+00 
       7.154600909790e+13       1.476607259586e-25       6.477421266027e-09       1.104411397727e+22       1.294251882443e+04       1.808978444446e-10       9.259855695620e+17       3.740192078550e-09       7.209758631097e+43       5.809002373773e+32       6.654768187648e+33       3.236176255929e-08       4.987486722468e+43       1.219724535429e+44       2.873924063191e-06       2.986595032422e+00 
       7.104866841896e+13       1.497352114976e-25       6.522896001115e-09       1.089110484530e+22       1.294251882442e+04       1.821641293557e-10       9.195487284628e+17       3.766373423100e-09       7.011369311368e+43       5.688701452924e+32       6.516951969044e+33       3.236176255929e-08       4.850247163052e+43       1.186161647513e+44       2.933797481174e-06       2.925644113393e+00 
       7.055478492449e+13       1.518388414839e-25       6.568370736204e-09       1.074021555694e+22       1.294251882442e+04       1.834392782612e-10       9.131566320385e+17       3.792738037061e-09       6.818439026289e+43       5.570891891283e+32       6.381989840857e+33       3.236176255929e-08       4.716783993974e+43       1.153522302096e+44       2.993670899157e-06       2.867131231125e+00 
       7.006433458241e+13       1.539720253679e-25       6.615664460696e-09       1.059141674312e+22       1.294251882442e+04       1.847233532091e-10       9.068089692537e+17       3.819287203320e-09       6.630817560821e+43       5.455522094310e+32       6.249822696603e+33       3.236176255929e-08       4.586993301144e+43       1.121781086264e+44       3.053544317140e-06       2.810912971692e+00 
       6.957729352772e+13       1.561351783523e-25       6.661139195785e-09       1.044467944165e+22       1.294251882442e+04       1.860164166815e-10       9.005054312351e+17       3.846022213743e-09       6.448358833359e+43       5.342541535958e+32       6.120392653857e+33       3.236176255929e-08       4.460774029851e+43       1.090913286388e+44       3.113417735123e-06       2.756856953005e+00 
       6.909363806129e+13       1.583287214730e-25       6.708432920277e-09       1.029997509159e+22       1.294251882442e+04       1.873185315983e-10       8.942457112563e+17       3.872944369239e-09       6.270920781994e+43       5.231900736540e+32       5.993643028905e+33       3.236176255929e-08       4.338027906086e+43       1.060894868873e+44       3.173291153106e-06       2.704840784081e+00 
