[ 0.  0.  0.]
[  509.          2566.48510742   156.89599609]
[  510.          2745.82006836   157.09700012]
[  511.          2457.46899414   157.28700256]
[  512.          2847.51098633   157.46400452]
[  513.          2670.84399414   157.62800598]
[  514.          2339.65307617   157.78100586]
[  515.          2597.18701172   157.92100525]
[  516.          2543.2409668    158.04800415]
[  517.          2575.55395508   158.16299438]
[  518.          2579.33789062   158.26499939]
[  519.          2571.87011719   158.35400391]
[  520.          2518.69604492   158.42999268]
[  521.          2418.15795898   158.49299622]
[  522.          2865.38208008   158.54400635]
[  523.          2751.98095703   158.58099365]
[  524.          2546.46704102   158.60499573]
[  525.          2534.7590332    158.61599731]
[  526.          2354.04101562   158.60499573]
[  527.          2477.89892578   158.58999634]
[  528.          2671.44897461   158.56199646]
[  529.          2797.75610352   158.52099609]
[  530.          2359.64794922   158.46699524]
[  531.          2719.90405273   158.39900208]
[  532.          2438.19189453   158.31900024]
[  533.          2457.99511719   158.22599792]
[  534.          2505.57397461   158.11999512]
[  535.          2689.98901367   158.00100708]
[  536.          2423.14599609   157.8690033 ]
[  537.          2351.28393555   157.7250061 ]
[  538.          2693.79907227   157.56799316]
[  539.          2565.73706055   157.397995  ]
[  540.          2581.97094727   157.20500183]
[  541.          2423.36889648   157.00900269]
[  542.          2397.87011719   156.80200195]
[  543.          2384.15209961   156.58200073]
[  544.          2628.82495117   156.3500061 ]
[  545.          2580.09008789   156.10600281]
[  546.          2600.99291992   155.8500061 ]
[  547.          2539.28710938   155.58299255]
[  548.          2694.60595703   155.30299377]
[  549.          2419.0090332    155.01300049]
[  550.          2266.03295898   154.71200562]
[  551.          2465.72900391   154.39900208]
[  552.          2582.52807617   154.07499695]
[  553.          2467.17211914   153.74099731]
[  554.          2822.02294922   153.39599609]
[  555.          2594.82104492   153.04100037]
[  556.          2672.07788086   152.67500305]
[  557.          2494.26708984   152.29899597]
[  558.          2701.08007812   151.91400146]
[  559.          2447.56201172   151.51800537]
[  560.          2324.60205078   151.11300659]
[  561.          2693.73608398   150.69900513]
[  562.          2603.43603516   150.27600098]
[  563.          2561.22802734   149.84300232]
[  564.          2417.04394531   149.4019928 ]
[  565.          2428.00805664   148.95199585]
[  566.          2552.24902344   148.4940033 ]
[  567.          2855.65600586   148.02799988]
[  568.          2450.93603516   147.55299377]
[  569.          2570.63110352   147.07099915]
[  570.          2231.5480957    146.59700012]
[  571.         2366.9440918   146.1000061]
[  572.          2424.04394531   145.59599304]
[  573.          2345.40795898   145.08500671]
[  574.          2512.02099609   144.56799316]
[  575.          2381.21606445   144.04400635]
[  576.          2437.92211914   143.51400757]
[  577.          2693.00805664   142.97799683]
[  578.          2438.51293945   142.43600464]
[  579.          2364.08496094   141.88900757]
[  580.          2518.8840332    141.33599854]
[  581.          2600.37304688   140.77799988]
[  582.          2152.25708008   140.21600342]
[  583.          2365.0090332    139.66700745]
[  584.          2266.44604492   139.09700012]
[  585.          2280.28491211   138.52200317]
[  586.          2414.55102539   137.94500732]
[  587.          2600.86791992   137.36399841]
[  588.          2536.63793945   136.77999878]
[  589.          2435.78295898   136.19299316]
[  590.          2333.93994141   135.60299683]
[  591.          2197.03710938   135.01199341]
[  592.          2359.06591797   134.41799927]
[  593.          2280.67211914   133.82200623]
[  594.          2178.53710938   133.2250061 ]
[  595.          2215.16796875   132.6269989 ]
[  596.          2150.16210938   132.02799988]
[  597.          2185.49389648   131.42799377]
[  598.          2234.94604492   130.82699585]
[  599.          2203.98291016   130.22599792]
[  600.          2226.24902344   129.625     ]
[  601.          2439.11206055   129.0249939 ]
[  602.          2228.76708984   128.42500305]
[  603.          1967.07202148   127.8259964 ]
[  604.          1957.86804199   127.22799683]
[  605.          2136.55004883   126.63200378]
[  606.          2313.38110352   126.03700256]
[  607.          2275.21191406   125.44300079]
[  608.          2227.22192383   124.85199738]
[  609.          1926.07800293   124.26399994]
[  610.          2193.29907227   123.6780014 ]
[  611.          2079.08911133   123.09400177]
[  612.          1957.26098633   122.51399994]
[  613.          2215.98388672   121.93699646]
[  614.          2264.13208008   121.36399841]
[  615.          2415.41210938   120.79399872]
[  616.          1947.95898438   120.22799683]
[  617.          2126.49389648   119.66699982]
[  618.          2012.8840332    119.11000061]
[  619.          1879.52600098   118.55699921]
[  620.          2186.49511719   118.01000214]
[  621.          2171.41992188   117.46700287]
[  622.          1875.19897461   116.93000031]
[  623.          1862.61901855   116.39800262]
[  624.          2042.79003906   115.8730011 ]
[  625.          2052.17895508   115.35299683]
[  626.          1904.66796875   114.83899689]
[  627.          1997.81896973   114.33200073]
[  628.          2025.08496094   113.83100128]
[  629.          1843.13098145   113.33699799]
[  630.          1973.3079834    112.84999847]
[  631.          2027.2409668    112.37000275]
[  632.          1849.32800293   111.89700317]
[  633.          1783.73901367   111.43099976]
[  634.          2106.45507812   110.97299957]
[  635.          2016.73095703   110.52300262]
[  636.          1721.07495117   110.08000183]
[  637.          1961.26904297   109.64600372]
[  638.          2024.69396973   109.21900177]
[  639.          1928.56103516   108.80200195]
[  640.          1925.67504883   108.39199829]
[  641.          2064.79907227   107.99099731]
[  642.          1903.57299805   107.59999847]
[  643.          2013.55895996   107.21700287]
[  644.          1636.37194824   106.84300232]
[  645.          1657.13000488   106.47799683]
[  646.          1805.39404297   106.1230011 ]
[  647.          1805.93505859   105.77600098]
[  648.          1905.94604492   105.44000244]
[  649.          1984.74902344   105.11199951]
[  650.          1991.68701172   104.79399872]
[  651.          1768.98596191   104.48600006]
[  652.          1874.73803711   104.18699646]
[  653.          1790.38098145   103.89900208]
[  654.          1742.06201172   103.62000275]
[  655.          1931.32397461   103.35099792]
[  656.          1791.4720459    103.09300232]
[  657.          1755.59399414   102.84400177]
[  658.          1760.92102051   102.60600281]
[  659.          1931.77404785   102.3769989 ]
[  660.          1769.19299316   102.16000366]
[  661.          1775.05700684   101.95200348]
[  662.          1897.24499512   101.75499725]
[  663.          2092.20800781   101.56800079]
[  664.          1911.8380127    101.39199829]
[  665.          1739.92504883   101.22599792]
[  666.          1754.64599609   101.06999969]
[  667.          1812.92700195   100.92500305]
[  668.          1793.9909668    100.79000092]
[  669.          1726.75305176   100.66500092]
[  670.          1755.39794922   100.5510025 ]
[  671.          1823.97302246   100.4469986 ]
[  672.          1793.9510498    100.35399628]
[  673.          1882.01794434   100.27100372]
[  674.          1867.30895996   100.19799805]
[  675.          1879.62805176   100.13600159]
[  676.          1747.16699219   100.08399963]
[  677.          1823.85498047   100.04299927]
[  678.          1905.50500488   100.01200104]
[  679.          1741.00402832    99.98999786]
[  680.          1696.56994629    99.97899628]
[  681.          1641.88195801    99.97799683]
[  682.          1844.25500488    99.98699951]
[  683.          1680.46203613   100.0059967 ]
[  684.          1771.88500977   100.03399658]
[  685.          1931.24194336   100.0719986 ]
[  686.         1652.9630127   100.1190033]
[  687.          1851.13305664   100.17500305]
[  688.          1903.23706055   100.24099731]
[  689.          1847.95605469   100.31700134]
[  690.          1936.48205566   100.40100098]
[  691.          1680.08105469   100.4940033 ]
[  692.          1688.99499512   100.59600067]
[  693.          1917.18896484   100.70700073]
[  694.          1898.53198242   100.82700348]
[  695.          1778.19897461   100.95500183]
[  696.          2001.98303223   101.09100342]
[  697.          1980.54101562   101.23600006]
[  698.          1886.94995117   101.38899994]
[  699.          1733.0970459    101.55000305]
[  700.          1832.6619873    101.71900177]
[  701.          1863.6619873    101.89600372]
[  702.          1992.39294434   102.08000183]
[  703.          1978.05505371   102.27100372]
[  704.          1969.01403809   102.47000122]
[  705.          1798.02001953   102.6760025 ]
[  706.          1811.34204102   102.88899994]
[  707.          1812.1529541    103.10900116]
[  708.          1942.03796387   103.33599854]
[  709.          1863.25500488   103.56900024]
[  710.          1865.73596191   103.80899811]
[  711.          1978.66101074   104.05500031]
[  712.          1902.5279541    104.30799866]
[  713.          1919.92504883   104.56600189]
[  714.          1882.36999512   104.83000183]
[  715.          1681.20605469   105.09899902]
[  716.         2001.7779541   105.3730011]
[  717.          2000.68103027   105.65299988]
[  718.          1797.2800293    105.93699646]
[  719.          2034.02502441   106.22599792]
[  720.          1949.51904297   106.51999664]
[  721.          1803.60095215   106.81700134]
[  722.          1933.79797363   107.1190033 ]
[  723.          2200.08300781   107.42500305]
[  724.          2077.2980957    107.73400116]
[  725.          2065.64697266   108.04599762]
[  726.          1979.42004395   108.36199951]
[  727.          1978.1739502    108.68099976]
[  728.         1995.0970459   109.0019989]
[  729.          1931.04797363   109.3259964 ]
[  730.          1732.20996094   109.65299988]
[  731.          2043.52905273   109.98200226]
[  732.          2111.64306641   110.31300354]
[  733.          2038.88000488   110.64499664]
[  734.          2225.0769043    110.98000336]
[  735.          1932.85498047   111.31600189]
[  736.          2178.65795898   111.65299988]
[  737.          2158.61499023   111.99099731]
[  738.          2037.46398926   112.33000183]
[  739.          1972.41003418   112.66999817]
[  740.          1965.47900391   113.01000214]
[  741.          2243.68310547   113.35099792]
[  742.          2352.08691406   113.69200134]
[  743.          2117.58007812   114.03199768]
[  744.          2156.17211914   114.3730011 ]
[  745.          2254.22705078   114.71299744]
[  746.          2214.67895508   115.05200195]
[  747.          2351.33007812   115.38999939]
[  748.          2411.33911133   115.72799683]
[  749.          2390.64501953   116.06400299]
[  750.          2222.11791992   116.39800262]
[  751.          2304.53710938   116.73100281]
[  752.          2024.91101074   117.06199646]
[  753.          2268.43310547   117.39099884]
[  754.          2247.90893555   117.71800232]
[  755.          2172.48608398   118.04299927]
[  756.          2293.14794922   118.36399841]
